1,安庆,aq
2,阿克苏,aks
3,阿勒泰,alt
4,安康,ak
5,北京,bj
6,包头,bt
7,北海,bh
8,保山,bs
9,百色,bs1
10,成都,cd
11,重庆,cq
12,长沙,cs
13,长春,cs1
14,常州,cz
15,长治,cz1
16,赤峰,cf
17,常德,cd1
18,长白山,cbs
19,朝阳市,cys
20,昌都,cd2
21,大连,dl
22,迪庆（香格里拉）,dq
23,大理,dl1
24,大同,dt
25,丹东,dd
26,敦煌,dh
27,大庆,dq1
28,东营,dy
29,达县,dx
30,恩施,es
31,鄂尔多斯,eeds
32,福州,fz
33,佛山,fs
34,阜阳,fy
35,广州,gz
36,桂林,gl
37,贵阳,gy
38,赣州,gz1
39,格尔木,gem
40,广元,gy1
41,杭州,hz
42,哈尔滨,heb
43,海口,hk
44,呼和浩特,hhht
45,合肥,hf
46,黄岩,hy
47,海拉尔,hle
48,黄山,hs
49,邯郸,hd
50,黑河,hh
51,怀化,hh1
52,和田,ht
53,汉中,hz1
54,哈密,hm
55,济南,jn
56,泉州晋江,jj
57,九寨沟,jzg
58,景洪（西双版纳）,jh
59,景德镇,jdz
60,济宁,jn1
61,佳木斯,jms
62,锦州,jz
63,嘉峪关,jyg
64,九江,jj1
65,井冈山,jgs
66,昆明,km
67,喀什,ks
68,库尔勒,kel
69,库车,kc
70,克拉玛依,klmy
71,康定,kd
72,丽江,lj
73,兰州,lz
74,拉萨,ls
75,临沂,lx
76,连云港,lyg
77,柳州,lz1
78,洛阳,ly
79,泸州,lz2
80,临沧,lc
81,林芝,lz3
82,荔波,lb
83,龙岩（连城）,ly1
84,牡丹江,mdj
85,绵阳,my
86,满洲里,mzl
87,芒市,ms
88,漠河,mh
89,梅县,yx
90,南京,nj
91,宁波,nb
92,南宁,nn
93,南昌,nc
94,南通,nt
95,南平（武夷山）,np
96,南阳,ny
97,南充,nc2
98,攀枝花,pzh
99,青岛,qd
100,齐齐哈尔,qqhe
101,衢州,qz
102,秦皇岛,qhd
103,庆阳,qy
104,上海,sh
105,深圳,sz
106,三亚,sy
107,沈阳,sy1
108,石家庄,sjz
109,汕头,st
110,思茅,sm
111,昭通,st1
112,天津,tj
113,太原,ty
114,通辽,tl
115,腾冲,tc
116,铜仁,tr
117,天水,ts
118,塔城,tc1
119,武汉,wh
120,温州,wz
121,无锡,wx
122,乌鲁木齐,wlmq
123,威海,wh1
124,潍坊,wf
125,万州,wz1
126,乌兰浩特,wlht
127,乌海,wh2
128,梧州,wz2
129,西安,xa
130,厦门,xm
131,西宁,xn
132,徐州,xz
133,襄樊襄阳,xf
134,西昌,xc
135,锡林浩特,xlht
136,烟台,yt
137,银川,yz
138,义乌,yw
139,宜昌,yc
140,延吉,yj
141,榆林,yl
142,运城,yc1
143,盐城,yc2
144,宜宾,yb
145,延安,ya
146,伊宁,yn
147,伊春,yc3
148,永州,yz1
149,郑州,zz
150,珠海,zh
151,张家界,zjj
152,湛江,zj
153,舟山（普陀山）,zs
154,中卫,zw
